number,polymer_name,category,dispersion,polar,hydrogen_bonding,interaction_radius
280,PICCOFLEX 120,Styrene Polymers And Copolymers - Solvent Range,17.4,7.8,3.8,7.7
281,SHELL POLYALDEHYDE EX 39,Styrene Polymers And Copolymers - Solvent Range,19.6,10.0,3.6,9.4
282,SHELL POLYALDEHYDE EX 40,Styrene Polymers And Copolymers - Solvent Range,19.6,10.0,3.6,9.4
283,SHELL X-450,Styrene Polymers And Copolymers - Solvent Range,19.3,9.5,11.1,11.1
284,SMA 1430A,Styrene Polymers And Copolymers - Solvent Range,18.8,11.4,16.4,14.1
285,SAN 85/15,Styrene Polymers And Copolymers - Solvent Range,19.1,9.5,3.1,8.7
286,STY/BUTENOL 85/15,Styrene Polymers And Copolymers - Solvent Range,17.4,7.8,3.8,7.7
287,STY/CYCLOL 82/18,Styrene Polymers And Copolymers - Solvent Range,18.2,5.6,7.2,5.7
288,STY/2EHA/AA 81/11/8,Styrene Polymers And Copolymers - Solvent Range,17.7,4.9,5.9,5.9
289,STY/MAA 90/10,Styrene Polymers And Copolymers - Solvent Range,18.7,6.3,7.3,6.7
290,STY/MA 85/15,Styrene Polymers And Copolymers - Solvent Range,18.0,9.0,3.0,9.0
291,STY/HALF ESTER MA 60/40,Styrene Polymers And Copolymers - Solvent Range,18.9,10.9,10.7,9.7
292,STY/PROP HALF E MA 57/43,Styrene Polymers And Copolymers - Solvent Range,18.0,9.8,8.4,10.1
293,STY/VBE 85/15,Styrene Polymers And Copolymers - Solvent Range,17.4,7.8,3.8,7.7
294,STYRON 44OM-27 MOD PS,Styrene Polymers And Copolymers - Solvent Range,20.0,5.0,1.0,7.0
295,STYRON 475M-27,Styrene Polymers And Copolymers - Solvent Range,20.0,5.0,1.0,7.0
296,STYRON 480-27,Styrene Polymers And Copolymers - Solvent Range,20.0,6.0,4.0,5.3
297,ACRYLOID K120N,Vinyl Resins - Solvent Range,17.6,10.0,3.8,9.5
298,DODA 6225,Vinyl Resins - Solvent Range,19.0,2.0,1.0,3.0
299,DODA 3457,Vinyl Resins - Solvent Range,19.0,2.0,1.0,3.0
300,ELVAX 250,Vinyl Resins - Solvent Range,19.0,2.0,1.0,3.0
301,ELVAX 150,Vinyl Resins - Solvent Range,18.7,2.3,0.7,6.0
302,ELVAX EOD 3602-1,Vinyl Resins - Solvent Range,17.7,3.3,2.7,5.4
303,EXON 470 PVC,Vinyl Resins - Solvent Range,17.4,7.8,3.8,7.7
304,EXON 471,Vinyl Resins - Solvent Range,17.9,8.7,2.5,9.0
305,EXON 473,Vinyl Resins - Solvent Range,17.4,7.8,3.8,7.7
306,GEON 121,Vinyl Resins - Solvent Range,19.5,6.7,11.1,8.0
307,POLYCYCLOLa,Vinyl Resins - Solvent Range,19.0,9.0,15.0,12.0
308,PVBE,Vinyl Resins - Solvent Range,16.7,3.7,8.3,8.6
